claim_id,policy_number,policyholder_name,claim_date,incident_date,incident_type,claim_amount,approved_amount,status,adjuster_name,fraud_flag,fraud_score,region,policy_type,deductible,settlement_date,processing_days
CLM-0055,POL-682789,Customer_0055,2024-08-06,2024-07-30,Fire Damage,96666.14,88849.03,Settled,Sarah Johnson,False,0.24,East,Property,2500,2024-09-13,38
CLM-0056,POL-197573,Customer_0056,2025-12-15,2025-12-12,Auto Collision,42527.86,29604.9,Settled,Maria Garcia,False,0.2,South,Life,0,2025-12-20,5
CLM-0057,POL-677124,Customer_0057,2025-02-18,2025-02-12,Liability,76958.99,0.0,Pending,David Kim,False,0.18,South,Health,1000,,24
CLM-0058,POL-899213,Customer_0058,2025-07-07,2025-06-26,Theft,12296.36,0.0,Under Review,Priya Patel,False,0.06,East,Health,1000,,18
CLM-0059,POL-303547,Customer_0059,2025-01-16,2025-01-13,Liability,195438.37,0.0,Pending,Maria Garcia,False,0.39,West,Health,1000,,27
CLM-0060,POL-232413,Customer_0060,2025-02-23,2025-02-18,Property Damage,36012.83,0.0,Pending,Robert Taylor,False,0.23,East,Auto,500,,23
CLM-0061,POL-962050,Customer_0061,2024-10-27,2024-10-14,Auto Collision,36946.14,27202.79,Settled,Michael Chen,False,0.35,Central,Health,250,2024-11-13,17
CLM-0062,POL-224205,Customer_0062,2025-08-22,2025-08-15,Auto Collision,12891.42,0.0,Denied,Aisha Mohammed,False,0.04,Central,Auto,1500,2025-09-25,34
CLM-0063,POL-420214,Customer_0063,2025-09-09,2025-08-31,Natural Disaster,196385.23,0.0,Pending,Thomas Brown,False,0.24,Central,Property,2500,,14
CLM-0064,POL-264136,Customer_0064,2024-09-09,2024-08-31,Liability,56605.99,0.0,Denied,Sarah Johnson,False,0.08,North,Property,1000,2024-09-21,12
CLM-0065,POL-174637,Customer_0065,2025-08-30,2025-08-23,Liability,11364.77,0.0,Under Review,James Wilson,False,0.28,Central,Life,0,,15
CLM-0066,POL-162535,Customer_0066,2025-04-09,2025-03-28,Fire Damage,59188.88,40835.82,Settled,Priya Patel,False,0.33,Central,Property,1000,2025-04-21,12
CLM-0067,POL-617781,Customer_0067,2025-05-20,2025-05-11,Liability,29248.96,25606.62,Settled,Robert Taylor,False,0.12,Central,Health,1000,2025-07-31,72
CLM-0068,POL-703139,Customer_0068,2024-09-30,2024-09-21,Auto Collision,20276.86,0.0,Pending,Thomas Brown,False,0.27,West,Health,250,,28
CLM-0069,POL-557058,Customer_0069,2024-08-03,2024-07-22,Liability,153806.26,103061.93,Approved,Robert Taylor,False,0.08,East,Liability,2000,2024-10-19,77
CLM-0070,POL-794769,Customer_0070,2024-10-09,2024-10-02,Medical Claim,100684.96,0.0,Under Review,Lisa Anderson,False,0.28,West,Health,250,,10
CLM-0071,POL-789606,Customer_0071,2024-08-14,2024-08-07,Auto Collision,10462.28,0.0,Under Review,Aisha Mohammed,False,0.33,East,Health,500,,1
CLM-0072,POL-380028,Customer_0072,2025-10-23,2025-10-17,Auto Collision,47452.27,0.0,Under Review,Aisha Mohammed,False,0.31,South,Liability,2000,,7
CLM-0073,POL-679077,Customer_0073,2024-11-26,2024-11-12,Medical Claim,4815.98,4103.26,Approved,Lisa Anderson,False,0.13,West,Life,0,2024-11-30,4
CLM-0074,POL-595158,Customer_0074,2024-10-07,2024-10-04,Fire Damage,264368.23,174902.97,Approved,James Wilson,False,0.12,North,Life,0,2024-12-10,64
CLM-0075,POL-995916,Customer_0075,2025-10-19,2025-10-11,Property Damage,129519.02,0.0,Pending,Lisa Anderson,False,0.12,West,Property,1000,,26
CLM-0076,POL-568238,Customer_0076,2025-06-28,2025-06-14,Fire Damage,123893.01,89131.4,Approved,Aisha Mohammed,False,0.27,Central,Health,1000,2025-07-20,22
CLM-0077,POL-344907,Customer_0077,2025-11-13,2025-11-08,Medical Claim,68574.02,49970.64,Settled,Lisa Anderson,False,0.1,Central,Liability,1000,2026-01-04,52
CLM-0078,POL-718849,Customer_0078,2024-08-19,2024-08-14,Liability,197740.73,181319.84,Settled,David Kim,False,0.02,West,Life,0,2024-10-25,67
CLM-0079,POL-261859,Customer_0079,2024-10-24,2024-10-11,Fire Damage,365520.05,0.0,Pending,Michael Chen,False,0.17,West,Auto,500,,21
CLM-0080,POL-667296,Customer_0080,2025-11-05,2025-10-24,Medical Claim,97650.58,91860.5,Settled,Sarah Johnson,False,0.25,East,Liability,2000,2026-01-09,65
CLM-0081,POL-827712,Customer_0081,2024-09-12,2024-09-09,Liability,89624.44,57303.83,Approved,Maria Garcia,False,0.05,East,Property,5000,2024-10-06,24
CLM-0082,POL-931016,Customer_0082,2024-07-30,2024-07-30,Medical Claim,56538.74,0.0,Under Review,Priya Patel,False,0.17,North,Health,250,,22
CLM-0083,POL-768891,Customer_0083,2024-12-24,2024-12-22,Auto Collision,51868.82,0.0,Pending,Maria Garcia,False,0.07,Central,Life,0,,15
CLM-0084,POL-413685,Customer_0084,2025-10-18,2025-10-14,Liability,137134.12,0.0,Under Review,Lisa Anderson,True,0.97,North,Life,0,,19
CLM-0085,POL-123005,Customer_0085,2025-03-21,2025-03-14,Fire Damage,343534.15,220776.11,Settled,Lisa Anderson,False,0.23,East,Property,2500,2025-04-30,40
CLM-0086,POL-299367,Customer_0086,2025-04-08,2025-04-08,Natural Disaster,418091.06,401858.24,Settled,Thomas Brown,False,0.15,North,Liability,1000,2025-07-01,84
CLM-0087,POL-442589,Customer_0087,2025-03-24,2025-03-14,Fire Damage,133939.16,103980.89,Approved,Lisa Anderson,False,0.06,South,Auto,1500,2025-05-03,40
CLM-0088,POL-605254,Customer_0088,2024-12-30,2024-12-27,Property Damage,127939.72,0.0,Pending,Maria Garcia,False,0.11,Central,Health,500,,27
CLM-0089,POL-986827,Customer_0089,2025-06-24,2025-06-12,Auto Collision,57053.06,0.0,Denied,Aisha Mohammed,False,0.29,West,Auto,500,2025-08-16,53
CLM-0090,POL-712955,Customer_0090,2025-07-11,2025-07-10,Fire Damage,221580.34,0.0,Under Review,Lisa Anderson,False,0.3,West,Auto,1000,,9
CLM-0091,POL-766269,Customer_0091,2025-07-17,2025-07-16,Liability,125811.64,122951.65,Approved,Robert Taylor,False,0.1,South,Life,0,2025-07-28,11
CLM-0092,POL-242254,Customer_0092,2025-05-16,2025-05-06,Theft,47366.82,34186.8,Approved,Lisa Anderson,False,0.1,North,Property,2500,2025-07-26,71
CLM-0093,POL-613117,Customer_0093,2025-10-13,2025-10-08,Liability,149742.46,0.0,Pending,Thomas Brown,False,0.27,Central,Life,0,,27
CLM-0094,POL-776149,Customer_0094,2025-08-26,2025-08-22,Auto Collision,34462.8,23932.52,Settled,David Kim,False,0.28,East,Property,2500,2025-11-06,72
CLM-0095,POL-355400,Customer_0095,2024-09-07,2024-09-01,Medical Claim,14205.18,9728.31,Settled,Priya Patel,False,0.02,South,Auto,1500,2024-10-22,45
CLM-0096,POL-724932,Customer_0096,2025-01-28,2025-01-27,Fire Damage,98141.27,0.0,Pending,Sarah Johnson,False,0.07,Central,Property,1000,,29
CLM-0097,POL-475644,Customer_0097,2025-04-23,2025-04-10,Property Damage,200635.89,0.0,Under Review,James Wilson,False,0.02,South,Liability,1000,,1
CLM-0098,POL-915809,Customer_0098,2025-05-28,2025-05-28,Property Damage,186720.92,0.0,Denied,David Kim,False,0.03,East,Auto,1500,2025-07-27,60
CLM-0099,POL-646781,Customer_0099,2025-12-17,2025-12-08,Auto Collision,71015.34,0.0,Denied,Maria Garcia,False,0.36,West,Liability,1000,2026-03-14,87
CLM-0100,POL-255539,Customer_0100,2025-10-23,2025-10-13,Auto Collision,33117.97,21300.97,Settled,Michael Chen,True,0.68,North,Life,0,2026-01-11,80
CLM-0101,POL-931621,Customer_0101,2024-11-11,2024-11-07,Natural Disaster,196643.16,0.0,Under Review,Michael Chen,False,0.25,Central,Liability,2000,,4
CLM-0102,POL-427704,Customer_0102,2025-02-12,2025-02-06,Theft,41543.54,0.0,Under Review,Maria Garcia,False,0.05,South,Life,0,,14
CLM-0103,POL-683397,Customer_0103,2025-07-21,2025-07-19,Liability,167195.52,106552.37,Approved,Sarah Johnson,False,0.16,West,Auto,500,2025-08-09,19
CLM-0104,POL-632060,Customer_0104,2025-06-13,2025-06-03,Auto Collision,65370.73,58076.94,Settled,James Wilson,False,0.15,West,Health,500,2025-08-28,76
CLM-0105,POL-946432,Customer_0105,2024-12-16,2024-12-06,Theft,42423.3,0.0,Under Review,Lisa Anderson,False,0.12,South,Auto,1000,,8
CLM-0106,POL-250210,Customer_0106,2024-08-05,2024-07-27,Liability,58287.73,0.0,Denied,Thomas Brown,False,0.15,East,Auto,1000,2024-08-31,26
CLM-0107,POL-856648,Customer_0107,2025-08-16,2025-08-15,Property Damage,57707.56,0.0,Pending,David Kim,False,0.07,North,Auto,1000,,10
CLM-0108,POL-736565,Customer_0108,2024-10-09,2024-09-25,Auto Collision,5632.66,0.0,Pending,Robert Taylor,False,0.27,South,Property,1000,,16
CLM-0109,POL-799539,Customer_0109,2025-09-02,2025-08-29,Property Damage,110328.84,0.0,Under Review,Maria Garcia,False,0.24,Central,Auto,1000,,17
CLM-0110,POL-108105,Customer_0110,2024-08-19,2024-08-16,Theft,11016.73,10775.79,Approved,Robert Taylor,False,0.12,Central,Auto,500,2024-09-06,18
CLM-0111,POL-557409,Customer_0111,2025-09-16,2025-09-14,Property Damage,127564.27,0.0,Denied,Sarah Johnson,True,0.94,West,Liability,2000,2025-09-24,8
CLM-0112,POL-280222,Customer_0112,2025-10-28,2025-10-14,Auto Collision,43858.18,38761.84,Settled,Thomas Brown,False,0.17,East,Liability,2000,2025-12-11,44
CLM-0113,POL-882033,Customer_0113,2025-10-28,2025-10-15,Liability,169674.45,118318.51,Settled,David Kim,False,0.04,East,Auto,1500,2025-12-09,42
CLM-0114,POL-468154,Customer_0114,2025-02-17,2025-02-12,Fire Damage,258791.5,0.0,Pending,Priya Patel,False,0.36,South,Auto,1500,,12
CLM-0115,POL-618119,Customer_0115,2025-02-28,2025-02-27,Property Damage,152587.75,0.0,Denied,Robert Taylor,True,0.97,East,Property,5000,2025-05-22,83
CLM-0116,POL-388016,Customer_0116,2025-10-13,2025-10-03,Natural Disaster,83969.13,0.0,Under Review,Thomas Brown,False,0.26,Central,Health,250,,26
CLM-0117,POL-744883,Customer_0117,2024-09-01,2024-08-27,Natural Disaster,231437.79,144129.28,Settled,Thomas Brown,True,0.94,North,Health,500,2024-09-15,14
CLM-0118,POL-164879,Customer_0118,2025-12-08,2025-12-02,Theft,23036.95,21284.45,Approved,Robert Taylor,False,0.2,Central,Liability,1000,2025-12-30,22
CLM-0119,POL-649525,Customer_0119,2024-10-26,2024-10-14,Fire Damage,263758.93,0.0,Pending,Aisha Mohammed,False,0.18,East,Auto,500,,15
CLM-0120,POL-445705,Customer_0120,2024-12-15,2024-12-10,Medical Claim,116282.49,101347.06,Settled,Michael Chen,False,0.26,East,Life,0,2024-12-26,11
CLM-0121,POL-832409,Customer_0121,2025-08-04,2025-07-31,Medical Claim,12684.55,0.0,Under Review,Lisa Anderson,False,0.15,Central,Property,5000,,21
CLM-0122,POL-874661,Customer_0122,2024-11-19,2024-11-10,Liability,78452.46,0.0,Pending,Aisha Mohammed,False,0.27,North,Health,500,,27
CLM-0123,POL-609892,Customer_0123,2024-10-14,2024-10-04,Liability,8554.95,0.0,Under Review,James Wilson,False,0.09,West,Liability,2000,,25
CLM-0124,POL-903531,Customer_0124,2025-02-19,2025-02-17,Property Damage,129383.98,105565.46,Approved,Thomas Brown,False,0.02,North,Health,1000,2025-04-06,46
CLM-0125,POL-145814,Customer_0125,2024-11-21,2024-11-12,Theft,41735.91,0.0,Denied,Lisa Anderson,False,0.07,South,Property,5000,2025-01-19,59
CLM-0126,POL-922471,Customer_0126,2025-07-19,2025-07-09,Liability,60560.95,0.0,Pending,Robert Taylor,False,0.1,South,Life,0,,26
CLM-0127,POL-245121,Customer_0127,2025-01-20,2025-01-15,Liability,155040.52,141280.61,Settled,Maria Garcia,False,0.33,Central,Life,0,2025-04-10,80
CLM-0128,POL-571145,Customer_0128,2024-09-02,2024-08-23,Theft,35858.65,28915.12,Approved,Aisha Mohammed,False,0.31,East,Liability,1000,2024-10-09,37
CLM-0129,POL-504924,Customer_0129,2024-12-11,2024-11-28,Theft,44346.86,43113.52,Settled,Michael Chen,True,0.82,North,Property,2500,2025-01-13,33
CLM-0130,POL-829884,Customer_0130,2025-07-22,2025-07-19,Auto Collision,59770.79,0.0,Under Review,Priya Patel,True,0.96,East,Auto,500,,16
CLM-0131,POL-216587,Customer_0131,2025-10-31,2025-10-24,Natural Disaster,135402.72,126464.14,Approved,Maria Garcia,False,0.25,North,Auto,1500,2025-12-27,57
CLM-0132,POL-662093,Customer_0132,2025-03-05,2025-03-01,Auto Collision,48643.48,41304.36,Settled,Sarah Johnson,False,0.36,North,Property,1000,2025-05-23,79
CLM-0133,POL-648913,Customer_0133,2025-12-19,2025-12-10,Property Damage,5383.26,3989.68,Settled,David Kim,False,0.27,South,Health,1000,2026-01-01,13
CLM-0134,POL-365971,Customer_0134,2024-09-16,2024-09-08,Natural Disaster,19963.81,0.0,Pending,Sarah Johnson,True,0.78,Central,Liability,2000,,12
CLM-0135,POL-953025,Customer_0135,2025-07-13,2025-07-01,Auto Collision,58319.6,52142.08,Approved,Priya Patel,False,0.15,East,Property,2500,2025-08-28,46
CLM-0136,POL-143941,Customer_0136,2025-10-30,2025-10-19,Theft,36086.21,35272.18,Approved,David Kim,False,0.03,South,Property,1000,2025-11-27,28
CLM-0137,POL-787584,Customer_0137,2025-05-22,2025-05-14,Theft,2794.42,0.0,Under Review,David Kim,False,0.35,Central,Life,0,,2
CLM-0138,POL-485191,Customer_0138,2025-04-07,2025-04-06,Fire Damage,301173.47,288480.51,Settled,Aisha Mohammed,False,0.08,East,Life,0,2025-06-12,66
CLM-0139,POL-793024,Customer_0139,2025-04-12,2025-03-31,Auto Collision,45979.09,42711.66,Settled,Maria Garcia,False,0.05,West,Auto,1500,2025-05-26,44
CLM-0140,POL-929924,Customer_0140,2025-05-17,2025-05-10,Natural Disaster,182258.02,112442.64,Settled,Sarah Johnson,False,0.18,West,Property,2500,2025-08-09,84
CLM-0141,POL-737086,Customer_0141,2024-09-25,2024-09-15,Liability,161213.72,0.0,Pending,Robert Taylor,False,0.02,West,Health,1000,,28
CLM-0142,POL-488984,Customer_0142,2024-08-07,2024-08-05,Auto Collision,29948.37,0.0,Under Review,David Kim,True,0.7,South,Health,1000,,15
CLM-0143,POL-127172,Customer_0143,2025-10-10,2025-09-28,Auto Collision,28787.35,0.0,Pending,Priya Patel,False,0.11,Central,Property,2500,,4
CLM-0144,POL-827691,Customer_0144,2025-12-02,2025-11-24,Theft,38973.26,0.0,Under Review,Robert Taylor,False,0.4,Central,Auto,1500,,10
CLM-0145,POL-800280,Customer_0145,2025-01-22,2025-01-21,Property Damage,225176.36,0.0,Denied,David Kim,False,0.33,North,Life,0,2025-03-06,43
CLM-0146,POL-335134,Customer_0146,2024-09-13,2024-09-05,Natural Disaster,358786.46,0.0,Denied,Michael Chen,False,0.32,East,Health,1000,2024-11-20,68
CLM-0147,POL-190403,Customer_0147,2025-02-03,2025-01-22,Property Damage,93419.65,77436.57,Approved,Michael Chen,False,0.23,South,Life,0,2025-04-25,81
CLM-0148,POL-571832,Customer_0148,2025-05-19,2025-05-13,Liability,154987.09,144035.05,Settled,Robert Taylor,False,0.13,West,Liability,1000,2025-05-31,12
CLM-0149,POL-971776,Customer_0149,2025-12-17,2025-12-12,Property Damage,193106.5,0.0,Denied,Michael Chen,False,0.37,Central,Liability,1000,2025-12-27,10
CLM-0150,POL-397846,Customer_0150,2025-12-15,2025-12-13,Medical Claim,140243.31,0.0,Under Review,Michael Chen,False,0.38,South,Property,1000,,29
CLM-0151,POL-720556,Customer_0151,2025-03-17,2025-03-14,Liability,126879.36,0.0,Denied,Thomas Brown,False,0.21,Central,Health,1000,2025-04-10,24
CLM-0152,POL-772612,Customer_0152,2024-12-07,2024-12-05,Liability,169293.35,0.0,Under Review,Thomas Brown,False,0.02,Central,Liability,1000,,2
CLM-0153,POL-416768,Customer_0153,2025-04-08,2025-03-29,Property Damage,161552.84,0.0,Pending,Robert Taylor,False,0.22,Central,Life,0,,21
CLM-0154,POL-736129,Customer_0154,2025-03-20,2025-03-08,Fire Damage,43094.61,26889.54,Settled,Priya Patel,False,0.19,West,Health,500,2025-05-05,46
CLM-0155,POL-380464,Customer_0155,2025-05-30,2025-05-17,Liability,30499.4,22820.14,Settled,Robert Taylor,False,0.1,East,Health,1000,2025-06-17,18
CLM-0156,POL-299055,Customer_0156,2025-03-13,2025-03-11,Auto Collision,65083.96,49935.92,Settled,Priya Patel,False,0.37,North,Health,250,2025-04-25,43
CLM-0157,POL-470037,Customer_0157,2025-12-01,2025-11-23,Theft,2135.64,2088.85,Settled,Sarah Johnson,False,0.1,West,Health,1000,2026-02-16,77
CLM-0158,POL-483545,Customer_0158,2024-08-25,2024-08-21,Theft,27297.85,0.0,Under Review,Lisa Anderson,False,0.35,Central,Life,0,,24
CLM-0159,POL-676566,Customer_0159,2025-07-10,2025-07-10,Theft,10538.11,0.0,Pending,Maria Garcia,True,0.82,North,Liability,2000,,25
CLM-0160,POL-520884,Customer_0160,2024-11-01,2024-10-30,Auto Collision,42721.72,0.0,Under Review,Aisha Mohammed,False,0.09,West,Health,500,,17
CLM-0161,POL-270395,Customer_0161,2024-08-11,2024-08-11,Auto Collision,39911.29,26324.54,Settled,Lisa Anderson,False,0.37,South,Health,1000,2024-09-23,43
CLM-0162,POL-806537,Customer_0162,2025-05-12,2025-05-03,Medical Claim,73732.07,0.0,Pending,Michael Chen,False,0.02,Central,Liability,2000,,11
CLM-0163,POL-649697,Customer_0163,2025-09-09,2025-08-31,Medical Claim,40196.8,34659.14,Settled,Thomas Brown,False,0.24,North,Liability,1000,2025-10-03,24
CLM-0164,POL-258787,Customer_0164,2025-07-27,2025-07-25,Fire Damage,380058.99,0.0,Pending,Lisa Anderson,False,0.18,South,Auto,500,,14
CLM-0165,POL-428993,Customer_0165,2025-01-31,2025-01-25,Natural Disaster,355829.86,287323.11,Approved,Priya Patel,False,0.2,Central,Life,0,2025-03-23,51
CLM-0166,POL-392559,Customer_0166,2025-10-28,2025-10-14,Natural Disaster,341175.6,0.0,Under Review,Aisha Mohammed,False,0.08,East,Liability,2000,,8
CLM-0167,POL-669576,Customer_0167,2025-05-05,2025-05-02,Medical Claim,47897.59,35421.29,Settled,Lisa Anderson,False,0.06,East,Property,5000,2025-08-02,89
CLM-0168,POL-324381,Customer_0168,2025-08-22,2025-08-09,Medical Claim,43500.74,38526.71,Approved,James Wilson,False,0.27,South,Health,500,2025-10-25,64
